Transaction ID,Customer ID,Product ID,Quantity Sold,Price per Unit,Transaction Date,Salesperson ID,Payment Method,Store ID
TXN0051,C1036,PROD2778,14,255.59,10/6/23,SP077,Cash,SI20
TXN0052,C1192,PROD2197,17,446.08,12/27/23,SP025,Check,SI09
TXN0053,C1129,PROD2223,18,486.03,12/16/23,SP013,Bank Transfer,SI14
TXN0054,C1190,PROD0547,5,161.62,11/15/23,SP074,Check,SI08
TXN0055,C1294,PROD1283,12,106.9,12/25/23,SP048,Bank Transfer,SI10
TXN0056,C1074,PROD1434,14,141.16,9/15/23,SP055,Cash,SI14
TXN0057,C1088,PROD2387,14,117.48,11/8/23,SP099,Bank Transfer,SI07
TXN0058,C1226,PROD2738,19,15.71,9/4/23,SP083,Bank Transfer,SI09
TXN0059,C1038,PROD2383,1,461.28,12/14/23,SP084,Cash,SI07
TXN0060,C1011,PROD1706,20,291.87,11/23/23,SP036,Bank Transfer,SI15
TXN0061,C1186,PROD0135,11,271.44,10/3/23,SP027,Cash,SI07
TXN0062,C1258,PROD0109,19,439.66,10/24/23,SP075,Check,SI13
TXN0063,C1225,PROD0437,4,41.78,11/30/23,SP023,Bank Transfer,SI09
TXN0064,C1150,PROD0489,11,348.68,10/22/23,SP029,Credit Card,SI19
TXN0065,C1211,PROD1656,12,116.58,9/8/23,SP049,Check,SI01
TXN0066,C1101,PROD2048,1,353.93,10/1/23,SP046,Bank Transfer,SI10
TXN0067,C1118,PROD1364,15,441.75,12/19/23,SP096,Cash,SI01
TXN0068,C1272,PROD1767,13,302.45,12/4/23,SP078,Bank Transfer,SI11
TXN0069,C1293,PROD2941,20,290.11,9/20/23,SP027,Cash,SI09
TXN0070,C1291,PROD2365,6,129.46,12/3/23,SP080,Check,SI17
TXN0071,C1035,PROD1204,8,136.78,12/2/23,SP015,Bank Transfer,SI19
TXN0072,C1058,PROD2471,1,367.87,9/12/23,SP077,Check,SI17
TXN0073,C1192,PROD1725,8,498.94,12/25/23,SP016,Check,SI11
TXN0074,C1048,PROD0069,8,139.54,9/19/23,SP049,Cash,SI12
TXN0075,C1019,PROD1407,9,448.13,11/27/23,SP025,Bank Transfer,SI14
TXN0076,C1236,PROD2174,7,205.2,11/2/23,SP059,Check,SI10
TXN0077,C1157,PROD0262,7,422.11,10/13/23,SP069,Bank Transfer,SI02
TXN0078,C1226,PROD2604,2,426.76,12/3/23,SP094,Credit Card,SI07
TXN0079,C1007,PROD0772,12,384.13,11/28/23,SP011,Cash,SI06
TXN0080,C1056,PROD1010,6,429.78,12/18/23,SP060,Check,SI05
TXN0081,C1043,PROD1254,4,487.68,12/18/23,SP024,Credit Card,SI15
TXN0082,C1128,PROD2647,8,455.52,9/18/23,SP085,Credit Card,SI13
TXN0083,C1011,PROD1318,17,460.78,11/29/23,SP080,Bank Transfer,SI07
TXN0084,C1172,PROD1514,11,147.98,9/22/23,SP005,Check,SI06
TXN0085,C1040,PROD1023,7,400.88,10/22/23,SP079,Cash,SI03
TXN0086,C1061,PROD2914,18,300.26,9/11/23,SP011,Credit Card,SI10
TXN0087,C1294,PROD2160,18,322.79,9/15/23,SP017,Cash,SI03
TXN0088,C1091,PROD0898,7,396.86,12/15/23,SP091,Bank Transfer,SI05
TXN0089,C1141,PROD0782,20,184.03,9/12/23,SP031,Check,SI19
TXN0090,C1134,PROD0514,6,193.75,12/31/23,SP058,Cash,SI15
TXN0091,C1293,PROD2759,16,372.32,11/2/23,SP011,Check,SI13
TXN0092,C1176,PROD0226,5,276.12,10/21/23,SP080,Check,SI15
TXN0093,C1194,PROD2084,15,452.29,10/24/23,SP076,Cash,SI02
TXN0094,C1159,PROD2143,11,412.24,12/11/23,SP097,Cash,SI11
TXN0095,C1006,PROD2641,20,161.38,11/14/23,SP056,Bank Transfer,SI09
TXN0096,C1144,PROD1442,3,336.17,12/31/23,SP025,Cash,SI10
TXN0097,C1171,PROD2402,4,58.43,9/11/23,SP069,Credit Card,SI17
TXN0098,C1291,PROD1287,19,195.29,10/18/23,SP020,Credit Card,SI04
TXN0099,C1151,PROD2826,6,447.23,12/12/23,SP069,Check,SI18
TXN0100,C1288,PROD1657,17,86.26,12/30/23,SP087,Credit Card,SI20
TXN0101,C1064,PROD0775,12,232.51,12/5/23,SP046,Check,SI17
TXN0102,C1033,PROD2501,12,350.84,11/20/23,SP068,Bank Transfer,SI16
TXN0103,C1165,PROD2793,13,221.36,9/9/23,SP061,Credit Card,SI07
TXN0104,C1092,PROD0325,12,211.9,9/14/23,SP077,Cash,SI05
TXN0105,C1040,PROD1598,2,230.41,10/6/23,SP086,Cash,SI18
TXN0106,C1185,PROD0520,3,300.51,12/13/23,SP048,Check,SI09
TXN0107,C1129,PROD2100,15,31.17,10/25/23,SP029,Credit Card,SI10
TXN0108,C1222,PROD1118,14,472.54,11/5/23,SP024,Bank Transfer,SI04
TXN0109,C1114,PROD2667,11,174.63,10/17/23,SP020,Bank Transfer,SI14
TXN0110,C1114,PROD0096,9,76.59,10/16/23,SP040,Cash,SI06
TXN0111,C1283,PROD0723,17,374.65,9/10/23,SP075,Check,SI13
TXN0112,C1021,PROD2143,13,495.86,10/19/23,SP033,Check,SI20
TXN0113,C1193,PROD2454,14,369,10/23/23,SP078,Cash,SI11
TXN0114,C1051,PROD0950,13,194.58,11/14/23,SP064,Check,SI16
TXN0115,C1248,PROD1518,20,214.3,9/2/23,SP054,Cash,SI18
TXN0116,C1141,PROD0731,14,256.2,10/21/23,SP068,Cash,SI06
TXN0117,C1291,PROD2198,2,157.52,10/12/23,SP026,Cash,SI05
TXN0118,C1045,PROD2648,19,53.93,9/27/23,SP036,Credit Card,SI14
TXN0119,C1166,PROD0939,14,138.07,10/31/23,SP086,Credit Card,SI20
TXN0120,C1114,PROD0343,9,377.1,11/10/23,SP011,Bank Transfer,SI17
TXN0121,C1224,PROD0985,6,169.09,11/3/23,SP082,Check,SI09
TXN0122,C1164,PROD0641,18,290.43,11/26/23,SP049,Credit Card,SI14
TXN0123,C1244,PROD0742,7,324.66,10/22/23,SP085,Check,SI13
TXN0124,C1065,PROD0292,13,181.97,11/3/23,SP011,Cash,SI17
TXN0125,C1105,PROD2419,7,225.86,11/22/23,SP003,Check,SI20
TXN0126,C1109,PROD1098,19,30.24,11/19/23,SP071,Credit Card,SI17
TXN0127,C1291,PROD1689,1,366.26,11/16/23,SP081,Credit Card,SI01
TXN0128,C1266,PROD0249,7,292.12,9/29/23,SP053,Check,SI09
TXN0129,C1185,PROD1922,18,75.45,12/20/23,SP036,Check,SI09
TXN0130,C1051,PROD2780,17,478.34,11/24/23,SP090,Credit Card,SI07
TXN0131,C1095,PROD0513,1,239.84,11/14/23,SP051,Bank Transfer,SI11
TXN0132,C1169,PROD2314,17,145.47,10/23/23,SP026,Cash,SI19
TXN0133,C1130,PROD0746,2,152.28,10/9/23,SP014,Bank Transfer,SI20
TXN0134,C1299,PROD1274,4,494.87,11/20/23,SP096,Credit Card,SI14
TXN0135,C1210,PROD2293,1,332.24,11/27/23,SP082,Bank Transfer,SI02
TXN0136,C1145,PROD2869,14,451.67,11/30/23,SP022,Check,SI05
TXN0137,C1034,PROD2739,2,489.23,9/11/23,SP021,Cash,SI09
TXN0138,C1020,PROD2122,16,290.22,12/13/23,SP060,Check,SI05
TXN0139,C1295,PROD1401,11,494.08,12/28/23,SP027,Cash,SI14
TXN0140,C1270,PROD0920,6,21.1,9/14/23,SP071,Cash,SI11
TXN0141,C1062,PROD2870,5,50.78,11/12/23,SP052,Bank Transfer,SI08
TXN0142,C1148,PROD1775,14,412.2,11/13/23,SP044,Bank Transfer,SI18
TXN0143,C1206,PROD0197,14,408.9,9/25/23,SP038,Check,SI04
TXN0144,C1214,PROD0394,20,170.3,11/8/23,SP096,Bank Transfer,SI02
TXN0145,C1218,PROD1471,5,123.22,12/1/23,SP054,Cash,SI04
TXN0146,C1143,PROD0062,5,415.21,10/11/23,SP051,Bank Transfer,SI06
TXN0147,C1207,PROD1304,7,106.07,11/26/23,SP092,Bank Transfer,SI03
TXN0148,C1009,PROD2337,10,439.84,12/1/23,SP066,Check,SI20
TXN0149,C1169,PROD2853,15,58.51,10/26/23,SP073,Check,SI02
TXN0150,C1023,PROD2700,13,478.06,9/5/23,SP091,Bank Transfer,SI10
TXN0151,C1179,PROD0626,17,375.11,10/5/23,SP056,Cash,SI15
TXN0152,C1160,PROD2859,1,474.69,9/1/23,SP026,Check,SI18
TXN0153,C1074,PROD1638,7,73.93,10/28/23,SP041,Credit Card,SI11
TXN0154,C1045,PROD0589,7,468.4,9/9/23,SP052,Check,SI09
TXN0155,C1014,PROD2090,15,174.2,11/8/23,SP006,Cash,SI16
TXN0156,C1247,PROD2630,17,154.37,10/8/23,SP042,Bank Transfer,SI17
TXN0157,C1196,PROD2724,13,349.09,10/30/23,SP068,Credit Card,SI03
TXN0158,C1060,PROD1466,5,116.56,12/13/23,SP093,Cash,SI20
TXN0159,C1114,PROD0609,1,217.61,10/25/23,SP068,Bank Transfer,SI01
TXN0160,C1137,PROD1480,18,15.75,12/5/23,SP005,Bank Transfer,SI11
TXN0161,C1215,PROD2948,3,370.25,11/10/23,SP067,Credit Card,SI03
TXN0162,C1293,PROD1298,10,99.2,11/15/23,SP098,Bank Transfer,SI20
TXN0163,C1118,PROD0805,13,382.57,12/25/23,SP028,Cash,SI14
TXN0164,C1236,PROD0527,14,411.83,9/12/23,SP099,Cash,SI15
TXN0165,C1108,PROD1473,19,162.93,9/2/23,SP045,Credit Card,SI04
TXN0166,C1028,PROD1135,9,74.41,10/31/23,SP047,Bank Transfer,SI19
TXN0167,C1093,PROD2540,19,61.42,11/3/23,SP088,Check,SI01
TXN0168,C1266,PROD1505,1,124.7,9/5/23,SP038,Bank Transfer,SI03
TXN0169,C1105,PROD0411,13,365.83,10/2/23,SP053,Check,SI20
TXN0170,C1212,PROD0974,14,407.46,9/22/23,SP054,Credit Card,SI02
TXN0171,C1164,PROD2347,20,264.56,10/25/23,SP066,Check,SI13
TXN0172,C1223,PROD0039,10,24.38,9/13/23,SP085,Credit Card,SI10
TXN0173,C1001,PROD0880,7,427.2,12/19/23,SP019,Check,SI20
TXN0174,C1263,PROD2694,15,296.83,9/24/23,SP026,Cash,SI01
TXN0175,C1177,PROD0745,19,14.8,12/19/23,SP099,Cash,SI01
TXN0176,C1231,PROD1817,1,218.81,10/4/23,SP090,Check,SI10
TXN0177,C1222,PROD1890,8,301.95,10/9/23,SP012,Cash,SI19
TXN0178,C1020,PROD0875,4,305.92,12/9/23,SP001,Bank Transfer,SI13
TXN0179,C1115,PROD2444,3,437.98,9/23/23,SP074,Check,SI17
TXN0180,C1184,PROD0639,18,253.21,9/21/23,SP051,Cash,SI12
TXN0181,C1285,PROD1073,9,401.45,12/14/23,SP035,Bank Transfer,SI05
TXN0182,C1204,PROD0620,4,403.94,10/12/23,SP096,Credit Card,SI05
TXN0183,C1103,PROD1770,7,370,10/3/23,SP009,Check,SI09
TXN0184,C1160,PROD0462,19,185.64,11/19/23,SP083,Cash,SI17
TXN0185,C1297,PROD1621,14,112.25,11/19/23,SP063,Cash,SI19
TXN0186,C1096,PROD0188,3,77.18,9/24/23,SP043,Check,SI05
TXN0187,C1204,PROD2499,15,359.89,11/24/23,SP021,Cash,SI12
TXN0188,C1017,PROD0803,11,315.08,12/26/23,SP094,Cash,SI16
TXN0189,C1197,PROD1464,6,346.16,11/12/23,SP049,Check,SI05
TXN0190,C1289,PROD0429,20,337.17,12/10/23,SP091,Check,SI16
TXN0191,C1250,PROD2978,17,224.39,9/11/23,SP058,Bank Transfer,SI07
TXN0192,C1264,PROD2539,5,473.07,9/18/23,SP073,Check,SI05
TXN0193,C1106,PROD2266,2,76.6,11/1/23,SP001,Check,SI10
TXN0194,C1252,PROD1564,4,227.62,9/4/23,SP029,Credit Card,SI08
TXN0195,C1169,PROD2262,18,125.88,12/30/23,SP034,Check,SI17
TXN0196,C1043,PROD0885,14,125.19,9/17/23,SP046,Check,SI06
TXN0197,C1021,PROD1404,2,364.05,12/2/23,SP069,Bank Transfer,SI10
TXN0198,C1199,PROD0479,15,281.37,9/3/23,SP038,Cash,SI19
TXN0199,C1077,PROD2911,17,86.05,11/24/23,SP002,Bank Transfer,SI19
TXN0200,C1124,PROD0860,5,364.33,10/24/23,SP089,Cash,SI17
TXN0201,C1135,PROD0033,12,127.71,11/10/23,SP090,Cash,SI03
TXN0202,C1048,PROD1541,12,426.62,11/24/23,SP074,Check,SI11
TXN0203,C1148,PROD2517,12,179.6,11/21/23,SP091,Check,SI19
TXN0204,C1032,PROD0078,13,125.53,10/20/23,SP020,Cash,SI12
TXN0205,C1145,PROD2375,9,161.49,12/11/23,SP047,Check,SI07
TXN0206,C1230,PROD1541,9,118.14,12/30/23,SP061,Cash,SI05
TXN0207,C1135,PROD0513,1,223.51,11/20/23,SP025,Check,SI02
TXN0208,C1254,PROD0733,10,365.58,10/20/23,SP063,Bank Transfer,SI16
TXN0209,C1228,PROD2546,18,322.14,10/15/23,SP067,Check,SI16
TXN0210,C1296,PROD1846,1,203.3,10/10/23,SP004,Bank Transfer,SI01
TXN0211,C1008,PROD0356,16,69.37,10/21/23,SP039,Check,SI14
TXN0212,C1291,PROD1794,9,144.54,9/27/23,SP034,Check,SI15
TXN0213,C1105,PROD1792,17,285.4,10/27/23,SP003,Cash,SI02
TXN0214,C1261,PROD1391,20,372.27,11/9/23,SP060,Cash,SI19
TXN0215,C1289,PROD0289,19,177.16,9/24/23,SP082,Check,SI07
TXN0216,C1229,PROD1257,7,217.95,9/9/23,SP051,Check,SI17
TXN0217,C1065,PROD0542,15,390.12,9/9/23,SP006,Check,SI02
TXN0218,C1176,PROD0978,5,106.88,10/29/23,SP023,Bank Transfer,SI13
TXN0219,C1111,PROD1976,19,403.27,10/4/23,SP072,Cash,SI10
TXN0220,C1175,PROD1167,4,114.22,12/16/23,SP077,Cash,SI12
TXN0221,C1243,PROD2596,15,313.28,10/30/23,SP054,Check,SI07
TXN0222,C1006,PROD1468,15,13.21,11/30/23,SP081,Cash,SI09
TXN0223,C1087,PROD2847,7,52.31,11/25/23,SP039,Bank Transfer,SI16
TXN0224,C1088,PROD1603,14,37.52,9/18/23,SP056,Check,SI16
TXN0225,C1216,PROD2716,10,397.6,11/27/23,SP075,Credit Card,SI10
TXN0226,C1102,PROD2500,20,68.86,10/2/23,SP026,Bank Transfer,SI20
TXN0227,C1163,PROD2314,10,32.9,11/29/23,SP030,Credit Card,SI19
TXN0228,C1139,PROD0827,16,214.69,9/5/23,SP046,Cash,SI10
TXN0229,C1062,PROD1626,2,468.77,9/8/23,SP065,Cash,SI19
TXN0230,C1256,PROD2928,9,172.38,11/17/23,SP079,Bank Transfer,SI17
TXN0231,C1232,PROD0259,7,499.07,9/29/23,SP028,Bank Transfer,SI19
TXN0232,C1297,PROD0990,18,469.6,9/5/23,SP036,Bank Transfer,SI16
TXN0233,C1120,PROD1906,15,94.7,11/10/23,SP090,Check,SI20
TXN0234,C1291,PROD1989,7,133.24,10/1/23,SP072,Check,SI09
TXN0235,C1041,PROD2031,19,438.26,10/11/23,SP044,Check,SI09
TXN0236,C1048,PROD2958,12,12.45,11/3/23,SP049,Check,SI06
TXN0237,C1219,PROD1050,18,198.32,12/7/23,SP018,Credit Card,SI17
TXN0238,C1075,PROD0925,10,214.99,11/23/23,SP031,Bank Transfer,SI12
TXN0239,C1177,PROD0550,20,77.02,11/5/23,SP046,Bank Transfer,SI04
TXN0240,C1174,PROD1935,15,480.37,9/26/23,SP066,Credit Card,SI03
TXN0241,C1179,PROD2925,20,236.72,10/28/23,SP033,Credit Card,SI08
TXN0242,C1203,PROD2812,12,105.28,10/25/23,SP043,Check,SI03
TXN0243,C1292,PROD1150,19,354,12/26/23,SP021,Check,SI13
TXN0244,C1269,PROD1987,1,330.13,10/9/23,SP063,Bank Transfer,SI12
TXN0245,C1129,PROD1538,3,334.62,9/9/23,SP027,Cash,SI13
TXN0246,C1165,PROD1448,10,28.56,11/28/23,SP065,Cash,SI14
TXN0247,C1009,PROD2820,17,271.91,10/6/23,SP069,Credit Card,SI10
TXN0248,C1070,PROD2813,18,17.05,9/2/23,SP099,Bank Transfer,SI08
TXN0249,C1050,PROD0778,3,334.33,9/6/23,SP032,Cash,SI15
TXN0250,C1028,PROD2338,5,305.32,10/13/23,SP027,Cash,SI08
TXN0251,C1052,PROD2779,9,52.53,12/13/23,SP011,Cash,SI19
TXN0252,C1002,PROD1564,1,286.5,12/2/23,SP091,Cash,SI20
TXN0253,C1189,PROD1824,11,120.1,11/2/23,SP086,Check,SI10
TXN0254,C1041,PROD0494,10,248.3,9/28/23,SP022,Check,SI14
TXN0255,C1282,PROD2729,8,298.88,10/10/23,SP034,Bank Transfer,SI12
TXN0256,C1255,PROD1702,5,452.34,10/4/23,SP057,Cash,SI07
TXN0257,C1128,PROD0146,14,422.91,11/12/23,SP020,Bank Transfer,SI02
TXN0258,C1183,PROD1087,13,181.98,10/11/23,SP020,Bank Transfer,SI11
TXN0259,C1098,PROD1819,1,108.2,12/14/23,SP006,Credit Card,SI14
TXN0260,C1141,PROD2742,20,42.22,11/24/23,SP095,Check,SI19
TXN0261,C1218,PROD1749,6,42.41,10/23/23,SP020,Check,SI01
TXN0262,C1272,PROD1916,12,109.45,9/7/23,SP024,Check,SI19
TXN0263,C1055,PROD0534,1,284.51,11/4/23,SP029,Bank Transfer,SI02
TXN0264,C1115,PROD1222,18,159.16,10/20/23,SP001,Credit Card,SI10
TXN0265,C1037,PROD0504,13,161.89,9/12/23,SP063,Check,SI05
TXN0266,C1005,PROD0852,16,123.59,9/7/23,SP055,Credit Card,SI16
TXN0267,C1186,PROD0178,18,291.59,12/12/23,SP053,Bank Transfer,SI12
TXN0268,C1013,PROD0857,4,441.08,9/17/23,SP065,Credit Card,SI03
TXN0269,C1189,PROD1706,1,219.63,11/1/23,SP091,Cash,SI07
TXN0270,C1045,PROD1036,12,164.16,12/3/23,SP046,Cash,SI10
TXN0271,C1053,PROD2416,16,369.4,10/12/23,SP018,Credit Card,SI17
TXN0272,C1147,PROD0503,13,459.24,9/14/23,SP055,Cash,SI15
TXN0273,C1172,PROD1766,17,101.01,12/28/23,SP015,Bank Transfer,SI02
TXN0274,C1167,PROD2920,18,175.3,12/12/23,SP092,Cash,SI07
TXN0275,C1141,PROD1030,5,175.53,12/18/23,SP096,Bank Transfer,SI10
TXN0276,C1198,PROD2120,20,92.09,10/19/23,SP022,Cash,SI13
TXN0277,C1208,PROD0426,7,42.07,11/2/23,SP082,Cash,SI14
TXN0278,C1155,PROD0090,4,151.07,12/28/23,SP035,Bank Transfer,SI17
TXN0279,C1161,PROD1619,13,289.36,11/20/23,SP057,Check,SI02
TXN0280,C1199,PROD0297,7,274.68,11/19/23,SP075,Credit Card,SI04
TXN0281,C1165,PROD2223,7,491.92,9/16/23,SP056,Credit Card,SI06
TXN0282,C1033,PROD1767,13,431.41,11/14/23,SP085,Check,SI10
TXN0283,C1255,PROD0370,8,218.58,10/17/23,SP018,Credit Card,SI10
TXN0284,C1269,PROD1756,1,339.91,11/27/23,SP018,Check,SI18
TXN0285,C1055,PROD2548,13,378.03,10/21/23,SP032,Credit Card,SI11
TXN0286,C1190,PROD0807,4,464.67,11/6/23,SP099,Check,SI01
TXN0287,C1143,PROD2296,14,58.11,9/13/23,SP095,Cash,SI03
TXN0288,C1299,PROD0456,3,414.3,10/17/23,SP048,Check,SI19
TXN0289,C1054,PROD0894,11,52.94,12/7/23,SP061,Bank Transfer,SI06
TXN0290,C1213,PROD0385,8,330.76,12/2/23,SP099,Check,SI08
TXN0291,C1111,PROD0039,15,159.67,9/19/23,SP092,Cash,SI15
TXN0292,C1047,PROD1935,10,12.17,9/8/23,SP047,Bank Transfer,SI18
TXN0293,C1025,PROD0165,2,381.36,9/16/23,SP076,Check,SI14
TXN0294,C1275,PROD0057,14,25.04,11/21/23,SP061,Credit Card,SI15
TXN0295,C1047,PROD2055,1,150.86,12/29/23,SP086,Check,SI14
TXN0296,C1151,PROD1770,15,371.82,12/19/23,SP036,Check,SI17
TXN0297,C1222,PROD1771,15,487.91,11/21/23,SP050,Check,SI09
TXN0298,C1048,PROD0558,20,452.69,9/20/23,SP037,Credit Card,SI02
TXN0299,C1011,PROD0602,16,292.4,11/12/23,SP013,Check,SI12
TXN0300,C1088,PROD0771,8,413.82,11/15/23,SP030,Credit Card,SI11
TXN0301,C1118,PROD2897,1,105.23,11/15/23,SP028,Check,SI03
TXN0302,C1262,PROD2718,14,180.64,10/30/23,SP019,Bank Transfer,SI15
TXN0303,C1282,PROD2067,20,256.36,12/2/23,SP020,Cash,SI01
TXN0304,C1135,PROD2260,19,428.99,10/11/23,SP078,Cash,SI09
TXN0305,C1244,PROD2150,7,488.82,11/6/23,SP013,Credit Card,SI17
TXN0306,C1235,PROD0967,13,494.37,11/16/23,SP021,Cash,SI19
TXN0307,C1079,PROD0275,10,203.42,11/28/23,SP011,Check,SI11
TXN0308,C1056,PROD0061,18,276.84,11/30/23,SP018,Cash,SI04
TXN0309,C1093,PROD1806,9,183.07,12/3/23,SP081,Bank Transfer,SI09
TXN0310,C1032,PROD1793,3,450.4,9/20/23,SP055,Cash,SI20
TXN0311,C1062,PROD2739,14,163.28,11/22/23,SP069,Cash,SI13
TXN0312,C1035,PROD0129,12,205.4,12/21/23,SP039,Cash,SI12
TXN0313,C1067,PROD1901,10,368.03,9/15/23,SP066,Cash,SI12
TXN0314,C1280,PROD1662,8,133.67,11/7/23,SP033,Check,SI02
TXN0315,C1276,PROD2821,4,170.2,12/29/23,SP072,Cash,SI11
TXN0316,C1210,PROD0136,3,173.08,9/22/23,SP009,Check,SI18
TXN0317,C1242,PROD1676,13,11.22,10/28/23,SP004,Check,SI08
TXN0318,C1127,PROD2294,13,347.95,12/4/23,SP067,Cash,SI06
TXN0319,C1295,PROD0320,2,407.4,12/6/23,SP017,Check,SI20
TXN0320,C1059,PROD2402,10,446.76,10/15/23,SP030,Credit Card,SI13
TXN0321,C1274,PROD0294,10,112.28,9/3/23,SP089,Bank Transfer,SI11
TXN0322,C1233,PROD0487,11,163.18,10/27/23,SP032,Bank Transfer,SI14
TXN0323,C1115,PROD1363,13,306.61,10/5/23,SP087,Check,SI05
TXN0324,C1122,PROD0895,2,276.34,9/14/23,SP014,Bank Transfer,SI18
TXN0325,C1110,PROD1471,9,297.55,12/5/23,SP098,Cash,SI06
TXN0326,C1285,PROD1870,9,196.06,11/23/23,SP075,Cash,SI06
TXN0327,C1051,PROD2765,11,228.52,9/6/23,SP090,Check,SI04
TXN0328,C1163,PROD0949,11,220.81,12/15/23,SP057,Cash,SI05
TXN0329,C1084,PROD0603,20,258.63,11/20/23,SP003,Check,SI02
TXN0330,C1106,PROD2590,19,22.44,11/27/23,SP095,Check,SI20
TXN0331,C1083,PROD2208,6,407.27,10/20/23,SP008,Cash,SI08
TXN0332,C1293,PROD2248,11,245.46,12/13/23,SP020,Bank Transfer,SI01
TXN0333,C1135,PROD2906,16,210.24,12/26/23,SP051,Check,SI18
TXN0334,C1034,PROD1814,7,126.27,11/9/23,SP003,Credit Card,SI14
TXN0335,C1210,PROD2162,13,370.22,10/17/23,SP079,Cash,SI18
TXN0336,C1224,PROD2442,14,185.59,10/15/23,SP088,Credit Card,SI17
TXN0337,C1012,PROD0566,2,52.92,12/28/23,SP037,Credit Card,SI04
TXN0338,C1252,PROD1726,16,282.03,11/20/23,SP072,Cash,SI12
