Product ID,Product Name,Product Category,Supplier ID,Orig_Price,Date Added
PROD0036,Blender,Accessories,SUP1735,671.96,6/22/20
PROD0037,Fridge,Kitchenware,SUP1833,,2/17/23
PROD0038,Coffee Maker,Electronics,SUP3367,411.78,6/23/22
PROD0039,Smartwatch,Electronics,SUP2848,954.92,10/12/22
PROD0040,Washing Machine,Clothing,SUP0593,102.86,1/21/22
PROD0041,Bookshelf,Appliances,SUP3165,830.58,7/21/21
PROD0042,Air Conditioner,Appliances,SUP1221,107.07,4/11/23
PROD0043,Wardrobe,Footwear,SUP3795,334.1,2/6/20
PROD0044,Washing Machine,Footwear,SUP2490,819.9,11/30/21
PROD0045,Fridge,Clothing,SUP4194,421.49,5/15/20
PROD0046,,Furniture,SUP1137,203.01,5/5/23
PROD0047,Sofa,Appliances,SUP4376,-968.43,4/2/23
PROD0048,Air Conditioner,Electronics,SUP0673,972.02,6/9/21
PROD0049,Microwave,Clothing,SUP0282,979.52,3/15/22
PROD0050,Toaster,Clothing,SUP4683,100.15,2/20/23
PROD0051,Cookware,Accessories,SUP2286,179.2,4/17/23
PROD0052,Laptop Bag,Home Decor,SUP3608,579.84,1/8/23
PROD0053,Bed,Electronics,SUP3507,48.12,1/9/22
PROD0054,Sofa,Appliances,SUP2317,773.8,4/10/21
PROD0055,Lamp,Electronics,SUP2733,780.08,4/14/20
PROD0056,Headphones,Accessories,SUP0156,723.77,4/5/21
PROD0057,Jeans,Home Decor,SUP0646,669.17,10/2/22
PROD0058,Coffee Maker,Accessories,SUP0680,611.51,7/7/20
PROD0059,Camera,Home Decor,SUP2182,992.74,6/16/20
PROD0060,Fridge,Clothing,SUP2674,438.35,2/1/20
PROD0061,Washing Machine,Home Decor,SUP4322,118.78,1/6/20
PROD0062,Air Conditioner,Home Decor,SUP2220,569.47,4/14/22
PROD0063,TV,Electronics,SUP3420,704.7,4/16/23
PROD0064,Bed,Electronics,SUP3198,336.83,6/10/20
PROD0065,Headphones,Home Decor,SUP4807,306.9,1/10/22
PROD0066,T-shirt,Footwear,SUP2632,378.63,5/12/23
PROD0067,Fridge,Electronics,SUP1455,294.01,3/27/23
PROD0068,Wardrobe,Clothing,SUP0346,371.16,4/9/21
PROD0069,Oven,Accessories,SUP0416,462.5,1/4/20
PROD0070,Vacuum Cleaner,Furniture,SUP2346,668.76,11/26/21
PROD0071,Microwave,Electronics,SUP2861,869.72,2/6/20
PROD0072,Cookware,Electronics,SUP0376,244.32,11/17/20
PROD0073,Laptop,Accessories,SUP1427,958.78,1/15/22
PROD0074,Jacket,Clothing,SUP3542,403.41,1/30/21
PROD0075,Laptop,Home Decor,SUP3596,518.91,7/17/22
PROD0076,Cookware,Electronics,SUP3060,572.27,3/30/20
PROD0077,Microwave,Accessories,SUP1935,517.2,5/9/23
PROD0078,Microwave,Electronics,SUP4827,166.96,3/21/21
PROD0079,Oven,Appliances,SUP1019,499.54,7/12/20
PROD0080,Coffee Maker,Electronics,SUP4563,147.94,10/27/20
PROD0081,Toaster,Footwear,SUP2669,524.55,8/22/22
PROD0082,Headphones,Footwear,SUP3538,203.87,2/20/23
PROD0083,Fridge,Furniture,SUP4981,89.06,10/26/22
PROD0084,Laptop Bag,Home Decor,SUP1777,483.81,6/10/22
PROD0085,Camera,Appliances,SUP1662,187.49,7/11/21
PROD0086,Lamp,Furniture,SUP2796,851.71,6/4/22
PROD0087,Jacket,Furniture,SUP3943,891.32,6/6/23
PROD0088,TV,Home Decor,SUP4407,622.7,3/6/20
PROD0089,Bookshelf,Footwear,SUP1011,279.84,8/1/21
PROD0090,Table,Accessories,SUP1974,56.58,2/24/20
PROD0091,Cookware,Kitchenware,SUP2389,247.68,9/15/20
PROD0092,Sofa,Kitchenware,SUP3249,478.44,12/16/20
PROD0093,Camera,Electronics,SUP4101,431.79,8/24/22
PROD0094,Toaster,Appliances,SUP4218,157.4,6/7/20
PROD0095,TV,Accessories,SUP2407,434.1,4/7/23
PROD0096,Bed,Electronics,SUP4202,863.08,4/11/23
PROD0097,Table,Clothing,SUP1609,606.24,7/28/23
PROD0098,Watch,Clothing,SUP0559,891.73,6/15/22
PROD0099,Bed,Clothing,SUP0492,484.41,1/2/20
PROD0100,Blender,Appliances,SUP2888,213.84,1/11/20
PROD0101,Camera,Appliances,SUP0145,679.44,11/19/21
PROD0102,Shirt,Kitchenware,SUP1855,431.96,2/13/21
PROD0103,Shirt,Clothing,SUP1376,691.24,8/16/22
PROD0104,Smartwatch,Clothing,SUP3323,810.49,8/26/22
PROD0105,Wardrobe,Home Decor,SUP1022,603.34,1/27/22
PROD0106,Jacket,Home Decor,SUP1556,32.73,8/28/22
PROD0107,T-shirt,Furniture,SUP4732,36.52,6/26/20
PROD0108,Bed,Electronics,SUP2846,392.8,12/8/22
PROD0109,Smartwatch,Clothing,SUP1012,352.69,7/30/20
PROD0110,Blender,Electronics,SUP1341,394.02,7/25/22
PROD0111,TV,Footwear,SUP3505,582.74,1/15/22
PROD0112,Wardrobe,Home Decor,SUP0821,417.06,12/7/20
PROD0113,Jeans,Accessories,SUP3982,975.58,5/5/23
PROD0114,Laptop Bag,Kitchenware,SUP3948,467.67,3/6/20
PROD0115,Camera,Footwear,SUP2255,863.53,8/9/23
PROD0116,Microwave,Furniture,SUP1497,287.48,8/22/20
PROD0117,Coffee Maker,Electronics,SUP0979,349.13,6/26/23
PROD0118,Air Conditioner,Accessories,SUP4402,523.72,9/18/22
PROD0119,Bed,Accessories,SUP0514,781.94,6/17/20
PROD0120,Bed,Furniture,SUP0726,645.27,4/18/23
PROD0121,Shirt,Clothing,SUP1041,814.01,7/18/21
PROD0122,,Kitchenware,SUP4355,771.83,10/4/20
PROD0123,Cookware,Kitchenware,SUP3866,374.12,5/14/21
PROD0124,Laptop,Clothing,SUP3045,933.81,10/15/20
PROD0125,Speaker,Kitchenware,SUP1870,984.61,7/17/21
PROD0126,Lamp,Home Decor,SUP1984,629.98,5/23/21
PROD0127,Bed,Home Decor,SUP2085,875.43,9/20/21
PROD0128,Shirt,Kitchenware,SUP0383,435.95,12/16/21
PROD0129,Cookware,Clothing,SUP0137,241.23,1/4/21
PROD0130,Bed,Furniture,SUP4188,347.25,8/15/20
PROD0131,Coffee Maker,Footwear,SUP3316,684.62,8/21/21
PROD0132,TV,Appliances,SUP3693,790.38,1/28/20
PROD0133,Washing Machine,Electronics,SUP0111,34.34,11/20/22
PROD0134,Camera,Home Decor,SUP1534,879.4,6/6/21
PROD0135,Jeans,Clothing,SUP4002,144.58,8/3/21
PROD0136,Watch,Clothing,SUP2789,724.51,8/18/21
PROD0137,Fridge,Home Decor,SUP3931,581.32,6/8/21
PROD0138,Coffee Maker,Clothing,SUP1282,709.88,11/24/21
PROD0139,Watch,Kitchenware,SUP3253,764.16,8/22/21
PROD0140,Shirt,Home Decor,SUP2414,121.48,2/10/20
PROD0141,Fridge,Accessories,SUP2247,512.32,11/15/21
PROD0142,Lamp,Kitchenware,SUP3574,557.97,4/28/23
PROD0143,Shirt,Footwear,SUP1983,575.74,6/23/22
PROD0144,Laptop,Clothing,SUP2679,659.09,10/9/20
PROD0145,Table,Electronics,SUP0119,525.56,2/5/20
PROD0146,Speaker,Footwear,SUP0530,608.91,4/15/22
PROD0147,Bookshelf,Accessories,SUP0471,639.3,2/8/21
PROD0148,Oven,Electronics,SUP2895,62.56,9/30/20
PROD0149,T-shirt,Accessories,SUP2444,500.63,1/17/22
PROD0150,Bookshelf,Kitchenware,SUP1528,108.15,6/9/22
PROD0151,Bed,Appliances,SUP1058,497.76,9/4/22
PROD0152,Bed,Accessories,SUP0078,651.8,1/23/22
PROD0153,Cookware,Appliances,SUP4660,248.63,7/17/22
PROD0154,Laptop,Electronics,SUP4537,720.13,11/18/20
PROD0155,TV,Electronics,SUP1303,627.73,6/22/23
PROD0156,Smartwatch,Home Decor,SUP0170,706.08,10/17/20
PROD0157,Laptop,Accessories,SUP4004,344.73,4/2/20
PROD0158,Wardrobe,Appliances,SUP1299,753,10/14/20
PROD0159,T-shirt,Appliances,SUP1185,145.43,2/1/21
PROD0160,Wardrobe,Accessories,SUP3209,443.83,10/15/22
PROD0161,Lamp,Home Decor,SUP4940,612.31,6/10/23
PROD0162,Blender,Appliances,SUP2423,272.02,5/27/20
PROD0163,Headphones,Clothing,SUP2076,646.66,7/26/21
PROD0164,Watch,Furniture,SUP4164,945.63,8/24/22
PROD0165,Jeans,Kitchenware,SUP2812,166.13,1/15/23
PROD0166,Toaster,Electronics,SUP4536,691.34,1/15/21
PROD0167,Smartwatch,Footwear,SUP0301,329.63,9/8/21
PROD0168,Coffee Maker,Appliances,SUP3759,552.53,4/14/20
PROD0169,Table,Footwear,SUP4823,152.52,11/18/22
PROD0170,Cookware,Electronics,SUP3658,696.68,8/23/21
PROD0171,Bookshelf,Clothing,SUP3419,513.24,11/24/21
PROD0172,Sofa,Clothing,SUP3072,21.84,1/20/20
PROD0173,Shoes,Kitchenware,SUP3764,287.79,8/7/23
PROD0174,TV,Footwear,SUP2727,271.36,8/30/22
PROD0175,Fridge,Accessories,SUP0401,632.6,4/22/23
PROD0176,Blender,Electronics,SUP3642,963.11,5/31/23
PROD0177,Bed,Electronics,SUP1114,887.29,6/25/21
PROD0178,Sofa,Clothing,SUP0474,353.71,4/26/22
PROD0179,Coffee Maker,Accessories,SUP0718,86.31,12/16/22
PROD0180,Laptop Bag,Footwear,SUP1217,988.94,4/11/21
PROD0181,Watch,Accessories,SUP4644,664.85,3/22/22
PROD0182,TV,Electronics,SUP1334,85.41,6/19/20
PROD0183,Vacuum Cleaner,Clothing,SUP2456,764.24,2/7/20
PROD0184,Lamp,Appliances,SUP2903,466.65,2/4/21
PROD0185,Fridge,Furniture,SUP1870,739.12,8/2/22
PROD0186,Headphones,Clothing,SUP4969,559.08,4/12/20
PROD0187,Oven,Electronics,SUP3449,333.94,5/30/21
PROD0188,Table,Furniture,SUP4549,851.48,6/14/23
PROD0189,Headphones,Furniture,SUP2159,780.35,1/1/23
PROD0190,Smartwatch,Appliances,SUP0167,216.72,1/8/22
PROD0191,T-shirt,Home Decor,SUP1800,577.82,8/13/23
PROD0192,Bed,Furniture,SUP4803,107.9,11/25/21
PROD0193,Table,Furniture,SUP2808,614.37,11/23/20
PROD0194,Washing Machine,Home Decor,SUP1623,176.49,9/1/20
PROD0195,Vacuum Cleaner,Kitchenware,SUP1821,436.29,3/19/21
PROD0196,Microwave,Kitchenware,SUP1511,865.41,2/17/23
PROD0197,Toaster,Accessories,SUP1844,664.9,5/21/23
PROD0198,Bookshelf,Home Decor,SUP2622,265,11/29/22
PROD0199,Jacket,Kitchenware,SUP1830,745.5,8/5/23
PROD0200,Bookshelf,Furniture,SUP0258,87.55,6/17/22
PROD0201,Table,Kitchenware,SUP0968,111.01,4/27/20
PROD0202,Jacket,Kitchenware,SUP0843,67.39,8/27/21
PROD0203,Laptop,Furniture,SUP0332,81.22,6/8/21
PROD0204,Jacket,Footwear,SUP2465,496.92,4/14/21
PROD0205,Cookware,Appliances,SUP0103,126.17,8/26/20
PROD0206,Blender,Footwear,SUP2846,652.95,5/11/21
PROD0207,Shoes,Kitchenware,SUP4187,802.96,5/14/21
PROD0208,Camera,Home Decor,SUP3291,724.56,4/11/20
PROD0209,Table,Kitchenware,SUP2338,433.1,8/12/21
PROD0210,Headphones,Footwear,SUP2151,,4/17/22
PROD0211,Smartwatch,Appliances,SUP4013,931.58,10/8/22
PROD0212,Wardrobe,Accessories,SUP0383,569.76,9/9/22
PROD0213,Watch,Clothing,SUP1350,340.82,11/11/20
PROD0214,Headphones,Appliances,SUP1344,326.39,11/1/20
PROD0215,Lamp,Footwear,SUP3953,711.39,4/19/23
PROD0216,Lamp,Furniture,SUP3892,553.46,12/2/20
PROD0217,Microwave,Appliances,SUP2343,374.58,1/30/22
PROD0218,Watch,Clothing,SUP1807,184.52,6/6/21
PROD0219,Cookware,Footwear,SUP4591,78.72,8/20/23
PROD0220,Table,Accessories,SUP0102,704.57,7/3/20
PROD0221,Watch,Home Decor,SUP4018,982.67,8/23/22
PROD0222,Bed,Electronics,SUP4774,179.58,5/25/20
PROD0223,T-shirt,Home Decor,SUP4918,244.77,2/27/21
PROD0224,Jacket,Clothing,SUP3649,549.47,2/3/22
PROD0225,Lamp,Appliances,SUP0750,74.67,8/30/20
PROD0226,Camera,Accessories,SUP4362,94.6,10/5/20
PROD0227,Table,Electronics,SUP4777,167.42,7/27/23
PROD0228,Washing Machine,Clothing,SUP2440,209.32,9/3/20
PROD0229,Shoes,Furniture,SUP0532,923.34,12/22/20
PROD0230,Jeans,Kitchenware,SUP4684,774.34,2/27/20
PROD0231,Shoes,Appliances,SUP2302,347.73,9/9/22
PROD0232,Microwave,Footwear,SUP2092,,3/5/21
PROD0233,T-shirt,Accessories,SUP4593,539.18,10/6/21
PROD0234,TV,Kitchenware,SUP4036,989.34,11/13/20
PROD0235,,Furniture,SUP4834,560.19,5/5/20
PROD0236,Toaster,Clothing,SUP3194,840.58,2/26/23
PROD0237,Wardrobe,Home Decor,SUP4345,959.35,8/11/21
PROD0238,Smartwatch,Clothing,SUP2507,47.1,3/8/23
PROD0239,Smartphone,Home Decor,SUP0453,991.97,1/3/23
PROD0240,Bed,Electronics,SUP3565,64.57,1/12/20
PROD0241,Toaster,Footwear,SUP4250,292.27,1/3/20
PROD0242,Speaker,Appliances,SUP1106,2.27,3/4/20
PROD0243,Laptop,Appliances,SUP4049,28.89,6/12/22
PROD0244,Table,Footwear,SUP4992,991.48,8/14/23
PROD0245,Laptop Bag,Electronics,SUP0474,984.74,1/19/21
PROD0246,Blender,Appliances,SUP1156,94.75,5/11/21
PROD0247,Smartphone,Footwear,SUP0603,256.99,6/7/22
PROD0248,Washing Machine,Electronics,SUP4068,55.15,5/24/23
PROD0249,Watch,Appliances,SUP3360,14.29,2/13/23
PROD0250,,Footwear,SUP4484,110.38,5/31/23
PROD0251,Smartphone,Appliances,SUP2243,433.28,8/23/21
PROD0252,Smartphone,Clothing,SUP1030,417.17,8/29/20
PROD0253,Wardrobe,Electronics,SUP2070,844.61,7/1/21
PROD0254,Fridge,Kitchenware,SUP2882,162.96,9/9/21
PROD0255,Air Conditioner,Electronics,SUP1325,935.85,4/2/22
PROD0256,Shoes,Clothing,SUP2393,429.31,4/19/21
PROD0257,Sofa,Appliances,SUP3068,161.25,10/1/20
PROD0258,Laptop,Home Decor,SUP0176,20.55,9/3/21
PROD0259,Microwave,Accessories,SUP4881,659.09,3/4/22
PROD0260,Oven,Footwear,SUP0119,657.97,7/12/23
PROD0261,Washing Machine,Furniture,SUP3791,209.28,12/12/21
PROD0262,Air Conditioner,Appliances,SUP2633,669.82,1/16/22
PROD0263,Smartphone,Accessories,SUP3016,373.97,6/19/23
PROD0264,Smartwatch,Clothing,SUP2998,861.46,12/14/20
PROD0265,Blender,Kitchenware,SUP0502,368.64,3/21/23
PROD0266,Blender,Home Decor,SUP1801,49.16,3/23/20
PROD0267,Laptop,Accessories,SUP2536,704.29,2/13/20
PROD0268,Speaker,Appliances,SUP1364,82.14,4/24/22
PROD0269,Laptop,Furniture,SUP2670,922.37,8/21/20
PROD0270,Lamp,Footwear,SUP3410,528.18,1/31/23
PROD0271,Sofa,Furniture,SUP2082,46.92,1/12/21
PROD0272,Laptop,Appliances,SUP0413,796.98,10/1/20
PROD0273,Laptop Bag,Accessories,SUP3524,736.39,1/7/22
PROD0274,Laptop,Accessories,SUP0465,932.24,10/23/20
PROD0275,Shirt,Furniture,SUP0691,61.18,6/19/22
PROD0276,Washing Machine,Home Decor,SUP0192,466.66,9/5/20
PROD0277,Vacuum Cleaner,Clothing,SUP0250,752.77,6/14/22
PROD0278,Microwave,Furniture,SUP4282,515.63,5/21/20
PROD0279,Air Conditioner,Footwear,SUP1948,420.02,5/17/21
PROD0280,Oven,Clothing,SUP0362,961.2,5/15/23
PROD0281,Bed,Furniture,SUP0410,672.48,10/15/22
PROD0282,Wardrobe,Accessories,SUP1244,826.79,11/12/21
PROD0283,,Accessories,SUP1850,372.33,10/23/20
PROD0284,Bed,Accessories,SUP2268,17.18,2/29/20
PROD0285,Cookware,Footwear,SUP3396,1.19,7/8/21
PROD0286,Smartwatch,Accessories,SUP3265,217.21,9/29/22
PROD0287,Laptop,Clothing,SUP0200,35.52,4/10/23
PROD0288,Sofa,Appliances,SUP2130,808.5,6/17/21
PROD0289,Lamp,Home Decor,SUP2488,989.09,4/26/23
PROD0290,Washing Machine,Footwear,SUP1698,694.21,1/21/22
PROD0291,Coffee Maker,Appliances,SUP2765,793.86,1/19/21
PROD0292,Air Conditioner,Clothing,SUP2194,380.37,8/28/23
PROD0293,Shoes,Clothing,SUP4861,602.79,6/1/20
PROD0294,T-shirt,Accessories,SUP2885,961.69,8/2/22
PROD0295,Jacket,Footwear,SUP0997,654.91,4/12/22
PROD0296,,Clothing,SUP3062,560.54,4/5/21
PROD0297,Table,Kitchenware,SUP0946,148.5,3/27/20
PROD0298,Jacket,Accessories,SUP0991,73.38,1/19/22
PROD0299,Laptop,Furniture,SUP4114,79.75,9/25/20
PROD0300,Sofa,Furniture,SUP3101,159,8/19/21
PROD0301,Wardrobe,Appliances,SUP4901,277.61,9/7/20
PROD0302,Shirt,Appliances,SUP2129,255.58,1/8/20
PROD0303,TV,Home Decor,SUP3026,788.74,4/15/21
PROD0304,Smartphone,Home Decor,SUP3523,987.39,11/22/21
PROD0305,,Home Decor,SUP3234,284.91,7/21/23
PROD0306,Shirt,Accessories,SUP1971,762.82,3/1/22
PROD0307,Laptop Bag,Furniture,SUP3652,844.35,10/26/21
PROD0308,Shirt,Home Decor,SUP4740,5.57,1/20/20
PROD0309,Laptop Bag,Furniture,SUP1306,523.65,6/29/23
PROD0310,Bookshelf,Kitchenware,SUP0495,345.19,
PROD0311,Laptop Bag,Home Decor,SUP4199,232.25,5/5/22
PROD0312,Table,Footwear,SUP1424,298.12,1/16/23
PROD0313,Shirt,Clothing,SUP0497,875.06,5/13/22
PROD0314,Shoes,Home Decor,SUP0614,748.39,3/26/23
PROD0315,Microwave,Accessories,SUP1199,674.51,3/22/22
PROD0316,Bed,Accessories,SUP1434,797.65,6/17/21
PROD0317,Camera,Kitchenware,SUP2954,219.45,6/21/22
PROD0318,Laptop,Kitchenware,SUP4840,669.49,11/18/21
PROD0319,Lamp,Appliances,SUP3201,697.59,9/19/20
PROD0320,Jeans,Appliances,SUP2262,841.48,8/10/22
PROD0321,Speaker,Electronics,SUP1484,503.41,7/19/22
PROD0322,Bed,Home Decor,SUP0080,682.07,9/2/22
PROD0323,Air Conditioner,Appliances,SUP1365,520.28,11/14/22
PROD0324,Laptop Bag,Accessories,SUP2271,270.36,5/26/23
PROD0325,Shirt,Footwear,SUP0525,994.2,3/29/20
PROD0326,Headphones,Furniture,SUP4373,822.26,5/20/22
PROD0327,Watch,Furniture,SUP2307,663.02,9/9/21
PROD0328,Air Conditioner,Appliances,SUP4295,445.04,1/22/22
PROD0329,Smartphone,Clothing,SUP3391,139.06,3/19/22
PROD0330,Bed,Clothing,SUP0184,977.36,4/27/20
PROD0331,Laptop Bag,Accessories,SUP1283,559.76,9/11/20
PROD0332,Headphones,Kitchenware,SUP0164,946.74,1/30/20
PROD0333,Toaster,Electronics,SUP1503,956.12,10/7/22
PROD0334,Jacket,Clothing,SUP1912,915.85,1/25/20
PROD0335,Toaster,Accessories,SUP0149,767.33,8/25/20
PROD0336,Wardrobe,Appliances,SUP2211,33.94,7/20/21
PROD0337,Smartphone,Footwear,SUP0298,880.26,1/30/20
PROD0338,Camera,Furniture,SUP0814,868.54,7/30/22
PROD0339,Lamp,Kitchenware,SUP1256,825.45,7/5/23
PROD0340,Shoes,Kitchenware,SUP2461,796.77,1/25/23
PROD0341,Smartwatch,Furniture,SUP1590,493.32,4/6/23
PROD0342,Shoes,Kitchenware,SUP1780,154.57,4/21/21
PROD0343,Laptop Bag,Accessories,SUP0566,867.51,3/2/22
PROD0344,T-shirt,Appliances,SUP3664,341.49,8/2/21
PROD0345,Fridge,Kitchenware,SUP2628,577.79,8/17/21
PROD0346,Lamp,Clothing,SUP4279,840.39,11/6/21
PROD0347,Watch,Electronics,SUP2220,539.8,10/16/22
PROD0348,Toaster,Appliances,SUP2769,939.25,3/30/23
PROD0349,Blender,Home Decor,SUP4472,339.84,7/31/22
PROD0350,Laptop,Clothing,SUP3363,951.03,11/19/20
PROD0351,Jacket,Clothing,SUP3434,967.39,7/11/23
PROD0352,Blender,Furniture,SUP2129,341.53,11/21/20
PROD0353,Cookware,Footwear,SUP0672,254.13,10/26/21
PROD0354,Smartphone,Accessories,SUP3608,842.47,5/13/22
PROD0355,Table,Home Decor,SUP0535,516.28,8/31/21
PROD0356,Laptop,Clothing,SUP4270,50.74,5/1/21
PROD0357,Air Conditioner,Appliances,SUP4888,692.5,5/4/21
PROD0358,Watch,Accessories,SUP1155,670.52,2/28/21
PROD0359,Laptop,Accessories,SUP2503,260,8/2/20
PROD0360,Camera,Home Decor,SUP1679,157.5,4/18/23
PROD0361,Jacket,Clothing,SUP2075,692.04,1/22/23
PROD0362,Smartphone,Home Decor,SUP0985,762.76,7/31/21
PROD0363,Smartphone,Kitchenware,SUP3848,217.14,1/25/22
PROD0364,Fridge,Furniture,SUP0817,254.51,6/23/22
PROD0365,Sofa,Electronics,SUP2711,174.92,3/27/20
PROD0366,Laptop Bag,Furniture,SUP2282,26.54,6/6/22
PROD0367,Shirt,Footwear,SUP2850,234.83,1/9/22
PROD0368,Laptop Bag,Kitchenware,SUP0145,281.08,9/3/20
PROD0369,Toaster,Footwear,SUP3706,162.71,1/22/21
PROD0370,Sofa,Accessories,SUP4011,952.79,9/12/20
PROD0371,,Home Decor,SUP2492,976.44,3/1/22
PROD0372,,Clothing,SUP4729,840.2,7/9/21
PROD0373,Toaster,Clothing,SUP0945,439.21,6/18/20
PROD0374,Fridge,Home Decor,SUP1733,419.32,8/30/20
PROD0375,Sofa,Clothing,SUP0875,79.32,7/14/21
PROD0376,Bed,Electronics,SUP2305,628.71,1/27/20
PROD0377,Watch,Furniture,SUP0390,258.43,1/17/20
PROD0378,Blender,Clothing,SUP4058,981.56,3/15/21
PROD0379,Shoes,Furniture,SUP0273,205.45,2/17/21
PROD0380,Coffee Maker,Kitchenware,SUP3449,575.79,3/2/23
PROD0381,Jacket,Footwear,SUP1438,50.02,1/26/22
PROD0382,Cookware,Appliances,SUP2933,530.72,8/13/21
PROD0383,Cookware,Kitchenware,SUP4921,482.68,7/11/20
PROD0384,Laptop Bag,Appliances,SUP0915,956.84,4/12/22
PROD0385,Headphones,Accessories,SUP4005,62.12,4/13/23
PROD0386,Toaster,Kitchenware,SUP3878,545.6,4/27/21
PROD0387,Watch,Electronics,SUP0468,590.45,11/24/22
PROD0388,Camera,Electronics,SUP0189,167800.55,11/3/21
PROD0389,Oven,Footwear,SUP2109,22.7,10/8/22
PROD0390,Table,Accessories,SUP0415,147.24,2/1/23
PROD0391,Jeans,Footwear,SUP3314,982.64,7/13/21
PROD0392,TV,Home Decor,SUP3452,304.1,9/19/20
PROD0393,,Furniture,SUP4043,694.67,5/15/21
PROD0394,Bed,Furniture,SUP4990,694.02,11/21/21
PROD0395,Bookshelf,Appliances,SUP0849,680.76,11/26/20
PROD0396,Smartwatch,Appliances,SUP3255,452.1,2/22/22
PROD0397,Watch,Kitchenware,SUP1675,648.01,3/21/20
PROD0398,Jeans,Footwear,SUP4538,174.45,8/19/20
PROD0399,Wardrobe,Footwear,SUP4898,32.3,7/6/22
PROD0400,Vacuum Cleaner,Kitchenware,SUP1677,977.12,9/15/20
PROD0401,Bookshelf,Home Decor,SUP3034,497.86,5/18/20
PROD0402,Watch,Appliances,SUP2400,480.85,1/2/23
PROD0403,Fridge,Furniture,SUP3571,394.6,1/3/20
PROD0404,Watch,Accessories,SUP0850,156.39,3/2/21
PROD0405,Fridge,Appliances,SUP2719,297.07,4/3/21
PROD0406,Oven,Accessories,SUP4232,709.43,1/24/23
PROD0407,Fridge,Appliances,SUP2617,431.82,6/23/22
PROD0408,Shirt,Appliances,SUP2562,367.17,2/5/23
PROD0409,Laptop Bag,Footwear,SUP3144,853.7,7/1/21
PROD0410,Oven,Clothing,SUP1930,141.65,1/10/22
PROD0411,Bookshelf,Electronics,SUP2334,,2/3/20
PROD0412,Blender,Furniture,SUP1957,830.32,3/20/22
PROD0413,Speaker,Clothing,SUP0340,163.1,7/19/22
PROD0414,Air Conditioner,Furniture,SUP3991,200.5,1/1/22
PROD0415,Camera,Accessories,SUP0082,660.38,12/15/22
PROD0416,Shoes,Furniture,SUP2800,269.14,3/29/22
PROD0417,Smartphone,Appliances,SUP4690,110.57,4/10/21
PROD0418,Vacuum Cleaner,Kitchenware,SUP2432,836.56,7/22/22
PROD0419,Washing Machine,Home Decor,SUP2128,839.99,12/13/20
PROD0420,Jacket,Footwear,SUP0725,80.37,12/10/20
PROD0421,Shoes,Footwear,SUP0416,407.97,8/4/20
PROD0422,Speaker,Electronics,SUP0189,384.38,3/26/20
PROD0423,Air Conditioner,Footwear,SUP4231,275.3,9/2/20
PROD0424,Smartphone,Footwear,SUP0177,148.84,1/14/22
PROD0425,Bookshelf,Accessories,SUP1520,736.4,9/28/20
PROD0426,Blender,Furniture,SUP3786,936.06,7/8/22
